time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-12 00:00:00+00:00,167,29,27,11
2026-03-13 00:00:00+00:00,127,32,25,12
2026-03-14 00:00:00+00:00,477,96,80,9
2026-03-15 00:00:00+00:00,251,60,39,7
2026-03-16 00:00:00+00:00,61,14,4,3
2026-03-17 00:00:00+00:00,342,18,10,5
2026-03-18 00:00:00+00:00,8,7,6,5
2026-03-19 00:00:00+00:00,15,6,8,4
2026-03-20 00:00:00+00:00,13,7,12,1
2026-03-21 00:00:00+00:00,7,3,7,4
2026-03-22 00:00:00+00:00,130,35,23,7
2026-03-23 00:00:00+00:00,74,27,34,8
2026-03-24 00:00:00+00:00,91,18,5,3
2026-03-25 00:00:00+00:00,104,22,24,8
