url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,200,2
/thorek1/MacroModelling.jl,47,32
/thorek1/MacroModelling.jl/actions/runs/22135747347,12,1
/thorek1/MacroModelling.jl/actions/runs/22020023410,11,1
/thorek1/MacroModelling.jl/actions,9,1
/thorek1/MacroModelling.jl/pulls,8,3
/thorek1/MacroModelling.jl/actions/runs/22171125827,8,1
/thorek1/MacroModelling.jl/pull/262,8,1
/thorek1/MacroModelling.jl/actions/runs/22072478471,7,1
/thorek1/MacroModelling.jl/actions/runs/22045102390,6,1
