url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,153,2
/thorek1/MacroModelling.jl,70,40
/thorek1/MacroModelling.jl/actions,70,3
/thorek1/MacroModelling.jl/pulls,46,4
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,21,2
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,16,2
/thorek1/MacroModelling.jl/actions/runs/24185825486,12,1
/thorek1/MacroModelling.jl/actions/runs/24039248638,11,2
/thorek1/MacroModelling.jl/pull/262/changes,11,2
/thorek1/MacroModelling.jl/actions/runs/24288234122,10,1
