time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,150,18,82,4
2025-10-11 00:00:00+00:00,12,10,4,4
2025-10-12 00:00:00+00:00,157,41,40,3
2025-10-13 00:00:00+00:00,70,13,47,22
2025-10-14 00:00:00+00:00,161,19,59,40
2025-10-15 00:00:00+00:00,109,17,81,37
2025-10-16 00:00:00+00:00,17,8,28,28
2025-10-17 00:00:00+00:00,26,11,50,38
2025-10-18 00:00:00+00:00,35,15,36,23
2025-10-19 00:00:00+00:00,408,48,210,5
2025-10-20 00:00:00+00:00,105,13,92,9
2025-10-21 00:00:00+00:00,23,11,14,4
2025-10-22 00:00:00+00:00,37,16,28,8
2025-10-23 00:00:00+00:00,42,11,19,4
