url_path,views_total,views_unique
/thorek1/MacroModelling.jl,55,30
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,31,2
/thorek1/MacroModelling.jl/tree/main,10,3
/thorek1/MacroModelling.jl/tree/main/models,9,9
/thorek1/MacroModelling.jl/blob/main/README.md,6,5
/thorek1/MacroModelling.jl/pulls,5,4
/thorek1/MacroModelling.jl/blob/main/models/FRBUS.jl,5,2
/thorek1/MacroModelling.jl/actions/runs/27460682690,5,1
/thorek1/MacroModelling.jl/pull/300,5,1
/thorek1/MacroModelling.jl/blob/main/CLAUDE.md,4,3
