time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,13,7,12,4
2025-07-05 00:00:00+00:00,15,8,1,1
2025-07-06 00:00:00+00:00,16,10,2,2
2025-07-07 00:00:00+00:00,18,11,6,2
2025-07-08 00:00:00+00:00,11,5,3,3
2025-07-09 00:00:00+00:00,12,6,22,5
2025-07-10 00:00:00+00:00,11,5,15,4
2025-07-11 00:00:00+00:00,18,10,12,3
2025-07-12 00:00:00+00:00,17,10,4,1
2025-07-13 00:00:00+00:00,14,8,10,2
2025-07-14 00:00:00+00:00,13,7,12,4
2025-07-15 00:00:00+00:00,16,10,3,2
2025-07-16 00:00:00+00:00,13,7,15,6
2025-07-17 00:00:00+00:00,1,1,30,8
