url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,197,2
/thorek1/MacroModelling.jl,67,37
/thorek1/MacroModelling.jl/actions,54,1
/thorek1/MacroModelling.jl/pulls,19,3
/thorek1/MacroModelling.jl/pull/262/changes,19,1
/thorek1/MacroModelling.jl/tree/main/models,16,9
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,10,1
/thorek1/MacroModelling.jl/actions/runs/25424256301,9,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,9,1
/thorek1/MacroModelling.jl/actions/runs/25640885427,8,1
