time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-25 00:00:00+00:00,23,9,4,4
2025-12-26 00:00:00+00:00,13,7,23,4
2025-12-27 00:00:00+00:00,18,8,23,6
2025-12-28 00:00:00+00:00,15,5,5,5
2025-12-29 00:00:00+00:00,15,7,4,4
2025-12-30 00:00:00+00:00,191,56,131,5
2025-12-31 00:00:00+00:00,384,131,133,5
2026-01-01 00:00:00+00:00,205,67,74,5
2026-01-02 00:00:00+00:00,398,140,110,7
2026-01-03 00:00:00+00:00,254,64,57,2
2026-01-04 00:00:00+00:00,420,94,114,2
2026-01-05 00:00:00+00:00,329,58,57,5
2026-01-06 00:00:00+00:00,319,68,97,3
2026-01-07 00:00:00+00:00,428,84,164,6
