time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,178,32,42,5
2026-07-27 00:00:00+00:00,335,36,12,5
2026-07-28 00:00:00+00:00,150,34,6,5
2026-07-29 00:00:00+00:00,275,30,4,3
2026-07-30 00:00:00+00:00,163,26,12,3
2026-07-31 00:00:00+00:00,371,39,7,4
2026-08-01 00:00:00+00:00,193,27,29,6
2026-08-02 00:00:00+00:00,154,20,40,3
2026-08-03 00:00:00+00:00,194,58,9,6
2026-08-04 00:00:00+00:00,96,13,7,2
2026-08-05 00:00:00+00:00,83,9,4,4
2026-08-06 00:00:00+00:00,16,3,4,2
2026-08-07 00:00:00+00:00,22,14,3,2
2026-08-08 00:00:00+00:00,60,17,2,1
