time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-23 00:00:00+00:00,311,72,111,6
2025-06-24 00:00:00+00:00,11,5,29,5
2025-06-25 00:00:00+00:00,39,8,4,3
2025-06-26 00:00:00+00:00,15,8,4,3
2025-06-27 00:00:00+00:00,50,13,18,5
2025-06-28 00:00:00+00:00,161,28,2,2
2025-06-29 00:00:00+00:00,88,16,53,3
2025-06-30 00:00:00+00:00,20,12,11,5
2025-07-01 00:00:00+00:00,13,7,31,3
2025-07-02 00:00:00+00:00,106,6,6,1
2025-07-03 00:00:00+00:00,13,7,8,7
2025-07-04 00:00:00+00:00,13,7,12,4
2025-07-05 00:00:00+00:00,15,8,1,1
2025-07-06 00:00:00+00:00,3,3,1,1
