url_path,views_total,views_unique
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,267,1
/thorek1/MacroModelling.jl/actions,137,1
/thorek1/MacroModelling.jl,114,37
/thorek1/MacroModelling.jl/actions/workflows/benchmark_push.yml,48,1
/thorek1/MacroModelling.jl/pulls,47,1
/thorek1/MacroModelling.jl/actions/workflows/documentation.yml,43,1
/thorek1/MacroModelling.jl/actions/workflows/benchmark.yml,38,1
/thorek1/MacroModelling.jl/pull/234,23,1
/thorek1/MacroModelling.jl/pull/214,17,1
/thorek1/MacroModelling.jl/tree/main/models,15,3
